Year,Month,Day,Location,Description,Credit,Clean_Description,Cluster,PC1,PC2
1540,Nov,26,Region of Calippus,Starlike appearance on dark side,Observers at Worms,starlik appear dark side,0,-0.10952767552188325,-0.04244255358560878
1587,Mar,5,Dark Side,A sterre is sene in the bodie of the moon vpon the (blank) of Marche-whereat many men merueiled-and not without cause-for it stode directly betwene the pointes of her hornes-the mone being chaunged-not passing 5 or 6 daies before.,Anonymous,sterr sene bodi moon vpon mani men without stode directli betwen point mone pass dai,0,-0.11946954725263523,-0.07454485376270384
1668,Nov,26,Dark Side,Bright starlike point,Several New Englanders,bright starlik point,0,0.10610984790181621,-0.07244576268358136
1671,Nov,12,Pitatus,Small whitish cloud,D.Cassini,small whitish cloud,0,-0.11825541130963996,-0.0728749125800271
1672,Feb,3,Mare Crisium,Nebulous appearance,D.Cassini,nebul appear,0,-0.12751287525279126,-0.06158459063114359
1673,Oct,18,Pitatus,White spot,D.Cassini,white spot,2,0.22064070068918162,-0.13870423631844034
1685,Dec,10,Plato,Reddish streak on crater floor seen during eclipse (lunar),Bianchini,reddish streak crater floor seen eclips,0,-0.16039460099184555,-0.145346057840563
1706,May,12,,Three sparkling spots,,three sparkl spot,0,0.08576714283482403,-0.08006479646186797
1715,May,3,,Lightning on the face of the moon. De Louville explained this as storms. Halley reference uses Old Style date.,Louville-Halley,lightn face de louvil explain halley refer use old style,0,-0.12127825100016551,-0.037690013486962305
1725,Aug,16,Plato,A track of ruddy light-like a beam-crossing the middle of the obscure (shadowed) area (crater in darkness),Bianchini,track ruddi middl obscur area,1,-0.1351816688791673,-0.08045816274516635
1738,Aug,4,,During solar eclipse-appearance like lightning on the face of the moon (Partial eclipse),Friend of Weidler,solar like lightn face moon,0,-0.10907904787995025,-0.07379346350278011
1751,Apr,22,Plato,Yellow streak of light across crater floor while crater was in darkness,Short-Stephens-Harris,yellow streak light across crater floor crater dark,0,-0.12914304727338402,-0.13099488913298665
1772,Oct,11,,Bright spot on disk of fully eclipsed moon,Beccarias nephew and niece,bright spot disk fulli eclips moon,2,0.24476377097646074,-0.10189142682340332
1774,Jul,25,Mare Crisium,Four bright spots. Peculiar behaviour of terminator,Eysenhard,four bright peculiar behaviour termin,0,0.0728069238375413,-0.030391545987376593
1778,Jun,14,NA: 1 12 min,During solar eclipse-observed spot near lunar limb almost as bright as sun,Ulloa,solar spot near lunar limb almost bright sun,0,0.14666394199096283,-0.08785026740272812
1783,Mar,18,,Moving glows around middle of disk during lunar eclipse,Messier,move glow around middl disk lunar eclips,0,-0.1435354787542752,-0.08193961985658284
1783,Mar,0,Near Aristarchus,Bright points seen during observation of star occultation,W.Herschel,bright point seen observ star occult,0,0.02620258388454859,-0.08674172046939278
1783,May,4,Aristarchus-vicinity,Red spot-4th mag-diameter <3,W.Herschel-Mrs Lind,red,0,-0.1875373035722392,-0.17640180180103548
1786,Dec,24,Aristarchus,Extraordinarily bright,Schroter,extraordinarili bright,0,0.1519522460175097,-0.024081751802585153
1787,Apr,19,Dark side,Three volcanoes. The brightest-3573 from N limb-the other two much farther toward the center of the moon,W.Herschel,three n two much farther toward center moon,0,-0.11658185767783637,-0.058579421735860705
1787,Apr,20,Dark side,Brightest volcano even brighter and at least 3 miles in diameter,W.Herschel,brightest volcano even brighter least mile diamet,0,-0.11894931046682866,-0.03983117839818087
1787,May,19,Aristarchus,Extraordinarily bright,von Bruhl,extraordinarili bright,0,0.1519522460175097,-0.024081751802585153
1788,Jan,11,Near Plato,Bright spot on dark side,Observers in Mannheim,bright spot dark side,2,0.4420120702878957,-0.04094365209208352
1788,Mar,9,Dark side,Bright spot,Schroter,bright spot,2,0.8231119119164837,-0.10701441993494196
1788,Mar,13,Riccioli,Bright spot,Schroter,bright spot,2,0.8231119119164837,-0.10701441993494196
1788,Mar,13,Helicon,Lunar volcano like 6th mag star,Nouet,lunar volcano like mag star,0,-0.09577547636203393,-0.12231863093815891
1788,Apr,9,Aristarchus: 1 hr,Extraordinarily bright,Bode,extraordinarili bright,0,0.1519522460175097,-0.024081751802585153
1788,Apr,9,Aristarchus,Bright spot 26 N of crater rim,Schroter-Bode,bright spot n crater rim,2,0.3680445648348735,-0.11412945881689066
1788,May,8,,Bright spots,Mechain,bright spot,2,0.8231119119164837,-0.10701441993494196
1788,May,8,,Bright spots,Bode,bright spot,2,0.8231119119164837,-0.10701441993494196
1788,Aug,27,,Bright spot,Schroter,bright spot,2,0.8231119119164837,-0.10701441993494196
1788,Sep,26,N edge of Mare Crisium,Small nebulous bright spot,Schroter,small nebul bright spot,2,0.3148178363611272,-0.09964241424982805
1788,Sep,26,118 SE of Plato: 15 min,Whitish bright spot shining somewhat hazily and 4 to 5 in diameter-5th mag-SE of Plato in bright moiuntainous region bounding Mare Imbrium,Schroter,whitish bright spot shine somewhat hazili plato bright moiuntain region bound mare imbrium,0,0.20838857981431505,-0.055815228456481375
1788,Sep,26,Near Aristarchus: 30 min,Bright spot 26 N of main crater,Schroter,bright spot n main crater,2,0.5742060467842863,-0.14283181568025535
1788,Dec,2,Aristarchus,Extraordinarly bright-like star,Schroter,extraordinarli star,0,-0.09006840210742416,-0.08644082059221282
1788,Dec,11,Plato,Bright area-like thin white cloud,Schroter,bright thin white cloud,0,0.05626861046756891,-0.06290701617148356
1789,Jan,10,,Lunar volcano,Seyffer,lunar volcano,0,-0.13769543660045155,-0.07105308119467879
1789,Mar,29,Grimaldi-and near Riccioli,Two flickering spots on E edge of Grimaldi-and near Riccioli on dark side of moon a bright spot,Schroter,two flicker spot e edg near riccioli dark side moon bright spot,2,0.2592656788963326,-0.08916715555403924
1789,Mar,29,Aristarchus,Nebulous bright area,Schroter,nebul bright area,1,0.10532668691370987,-0.06164070598745885
1789,Mar,0,Near Aristarchus,Brilliant spots near Aristarchus: luminous spots on dark side,Bode,brilliant spot near lumin spot dark side,2,0.21835659192948126,-0.1015179865826301
1789,Apr,0,Near Aristarchus,Brilliant spots near Aristarchus: luminous spots on dark side,Bode,brilliant spot near lumin spot dark side,2,0.21835659192948126,-0.1015179865826301
1789,May,0,Near Aristarchus,Brilliant spots near Aristarchus: luminous spots on dark side,Bode,brilliant spot near lumin spot dark side,2,0.21835659192948126,-0.1015179865826301
1789,Sep,26,Mont Blanc: 15 min,Small speck of light at foot of mountain-like 5th mag star,Schroter,small speck light foot mag star,0,-0.09480899897723254,-0.1267406335070015
1790,Jan,17,Aristarchus region,Small-hazy spot of light,Schroter,spot light,2,0.26217566963535516,-0.21639781624744817
1790,Feb,15,Aristarchus region,Small-hazy spot of light,Schroter,spot light,2,0.26217566963535516,-0.21639781624744817
1790,Mar,19,Aristarchus region,Small-hazy spot of light,Schroter,spot light,2,0.26217566963535516,-0.21639781624744817
1790,Oct,22,,During total eclipse-Herschel saw at least 150 small-round-bright-red luminous points. (Mid-eclipse-lunar-Oct 23-00h41m.),W.Herschel,total saw least lumin,0,-0.1211518365105881,-0.04945538742798586
1792,Feb,24,,Cusps of moon showed signs of atmosphere,Schroter,cusp moon show sign atmospher,0,-0.12800677552795928,-0.05530699091646727
1794,Mar,7,Dark side,Appearance of light like a star seen in dark part of the moon,W.Wilkins-Stretton,appear light like star seen dark part moon,0,-0.10357732152893989,-0.12988888991046954
1797,Mar,2,Promontorium Heraclides-vicinity,Observations of a volcano on the moon,Caroch̩,observ volcano moon,0,-0.13067574778727933,-0.07320226731235774
1797,Jul,2,Mare Vaporum,Vapors resembling mountain,Schroter-Olber,vapor resembl mountain,0,-0.12958342746471713,-0.042893072526994584
1820,Oct,17,S of Sinus Iridum,Brilliant spots in Mare Imbrium S of Sinus Iridum,Luthmer,brilliant spot mare imbrium sinu iridum,0,0.06279337211097186,-0.0798703408021521
1821,Feb,5,Aristarchus-vicinity,Luminous appearance on dark side: 6th to 7th mag-3 to 4 diameter,Kater-Olbers-Browne,lumin appear dark diamet,0,-0.1048239930485417,-0.03084083804376224
1821,Apr,7,Posidonius,Appeared without shadow,Gruithuisen,appear without shadow,0,-0.15491274776910133,-0.07671712840180897
1821,May,4,Aristarchus-vicinity,Bright spot on dark side-<1 diameter,Ward-Baily,bright spot dark diamet,2,0.3576428075772441,-0.032893904610838735
1821,Jul,25,Dark side,Brilliant flashing spots,Gruithuisen,brilliant flash spot,0,0.10900350876181963,-0.09558691743398409
1821,Nov,28,Dark side,Variable bright spot like 6th mag star,Fallows,variabl bright spot like mag star,2,0.24064732009666084,-0.12567853056453226
1822,Jan,27,Aristarchus-vicinity,Bright spot like 8th mag star,F.G.W. Struve,bright spot like mag star,2,0.32638657531675364,-0.1418625884111495
1822,Jun,22,Aristarchus,Lunar volcano,Ruppell,lunar volcano,0,-0.13769543660045155,-0.07105308119467879
1824,May,1,Near Aristarchus,Blinking light-9th to 10th mag on dark side,Gobel,blink mag dark side,0,-0.09023331329497807,-0.050976825501183244
1824,Oct,18,Aristarchus-vicinity,Mingling of all kinds of colors in small spots in the W and NW of Aristarchus,Gruithuisen,mingl kind color small spot w nw aristarchu,0,0.03791262565176362,-0.1016575276423084
1824,Oct,20,Dark side-Mare Nubium,Bright area 100 x 20 km,Gruithuisen,bright area x km,1,0.21641864344111458,-0.061886079159363165
1824,Dec,8,Plato,Bright fleck in SE part of crater,Gruithuisen,bright fleck se part crater,0,0.0701887829659015,-0.060718859999527565
1825,Apr,8,Plato,W part of crater brighter than E part,Gruithuisen,w part crater brighter e part,0,-0.12207277711429525,-0.06758321758318453
1825,Apr,22,Aristarchus and vicinity,Periodic illumination,Argelander-Gobel,period illumin,0,-0.12174787607817147,-0.03963864508782319
1825,Dec,1,Ptolemaeus,Bright spot,Schwabe,bright spot,2,0.8231119119164837,-0.10701441993494196
1826,Apr,12,Mare Crisium,Black moving haze or cloud,Emmett,black move haze cloud,0,-0.1262331277756101,-0.054919056172435414
1826,Apr,13,Mare Crisium: 1 hr,Cloud less intense,Emmett,cloud less intens,0,-0.11839230871066854,-0.010628904839702193
1832,Jul,4,Mare Crisium,Speckled with minute dots and streaks of light,T.W. Webb,speckl minut dot streak light,0,-0.13334467889237786,-0.11595918662816793
1832,Dec,25,Aristarchus-vicinity,Bright spot,C.P. Smyth,bright spot,2,0.8231119119164837,-0.10701441993494196
1835,Dec,22,Near Aristarchus,Bright spot-9th to 10th mag,C.P. Smyth,bright mag,0,0.21818474307191943,-0.04658134962322192
1836,Feb,13,Messier,Two straight lines of light: a band between covered with luminous points,Gruithuisen,two straight line band cover lumin point,0,-0.12590631978268063,-0.06746422688531688
1839,Jun,24,Grimaldi,Smoky-gray mist,Gruithuisen,mist,0,-0.13285016107616385,-0.045442657783722196
1839,Jul,7,South Pole,Twilight,Gruithuisen,twilight,0,-0.12182008228751,-0.03680740261657953
1839,Jul,19,Schroter,Dark mist,Gruithuisen,dark mist,0,-0.10200557000024905,0.003659891904536134
1842,Jul,8,,During solar eclipse-moons disk occasionally crossed by bright streaks,,solar disk occasion cross bright streak,0,0.05161020503932342,-0.053089068162585025
1843,Jul,4,Peak S of Alps,On terminator saw an unusually bright spot that glowed like a fixed star,Gerling,termin saw unusu bright spot glow like fix star,0,0.1437713849072646,-0.128472101467989
1844,Apr,25,SW of Pico,A bluish glimmering patch of light-not quite within the night side of the moon,J.Schmidt,bluish glimmer patch quit within night side moon,0,-0.13725704285840776,-0.06994295181315133
1847,Mar,18,Dark side,Large luminous spots on dark side,Rankin-Chevalier,larg lumin spot dark side,0,0.09213019545504275,-0.06410541080731669
1847,Dec,11,Teneriffe Mts.,A bright spot about 14-ang diam of Saturn was perceived which-though it varied in intensity like an intermittent light-was at all times visible (dark side),Hodgson,bright spot diam saturn perceiv vari intens like intermitt time visibl,0,0.14160675808233067,-0.0589634273238948
1848,Mar,19,,During eclipse rapid changes in .... (wording illegible),Gorjan,eclips rapid chang,0,-0.13053045265247032,-0.059100682833329414
1849,Feb,11,Posidonius,Without normal shadow,J.Schmidt,without normal shadow,0,-0.14293208219086015,-0.06005254739647112
1854,Dec,27,Teneriffe Mts. (near Plato): 5 hr,Two luminous fiery spots on bright side. ... an appearance I had never seen before on the surface of the moon though I have observed her often these last 40 years .... It appeared to me from the brightness of the light and the contrast of colour to be two active volcanoes or 2 mouth of one in action.,Hart,two lumin fieri spot bright appear never seen surfac moon though observ often last year appear bright light contrast colour two activ volcano mouth one,0,0.098671549670173,-0.12213115728988706
1855,Jun,20,,Traces of twilight seen. Webb gives low weight to observation for want of better optical means.,Webb,trace twilight webb give low weight observ want better optic,0,-0.13000846496949556,-0.051080378086740395
1862,Jun,12,,During lunar eclipse-the E IAU:W side dark brick red and something seemed to oscillate before it. At the mid-eclipse on the S side-a very small meniscus was seen nearly the color of the uneclipsed moon.,,lunar e side dark brick red someth seem oscil small meniscu seen nearli color uneclips,0,-0.14214142175332273,-0.10709362369517274
1864,May,15,Mare Crisium-E of Picard,Bright cloud,Ingall,bright cloud,0,0.19040006633234907,-0.03960958562154439
1865,Jan,1,SE of Plato: 30 min,Bright spot like 4th mag star slightly out of focus. Bright speck remained changeless for 30 min-and its light was steady.,Grover,bright spot like mag star slightli bright speck remain changeless light,2,0.3457665364483376,-0.15230807567459748
1865,Apr,10,Mare Crisium-E of Picard,Point of light like star. Whole of Mare Crisium intersected with bright veins-mixed with bright spots of light. Aperture 4-12 in.: 4 hr before full moon,Ingall,point light like whole mare crisium intersect bright bright spot apertur hr full moon,2,0.22539398896607002,-0.09877282685335295
1865,Sep,5,Mare Crisium-E of Picard,Point of light like star-with misty cloud,Ingall,point light like misti cloud,0,-0.11933460482532021,-0.1410163708118974
1865,Nov,24,Carlini: 1 hr 30 min,Dark side-distinct bright speck like 8th mag star,Williams and two others,dark bright speck like mag star,0,0.09656389329981423,-0.06512097727356787
1866,Jun,10,Aristarchus,Starlike light,Tempel,starlik light,0,-0.14326529056136428,-0.13812094398921712
1866,Jun,14,Aristarchus-vicinity,Reddish-yellow,Tempel,,0,-0.11410029397912765,-0.03180090444102367
1867,Apr,9,Aristarchus-vicinity: 1 hr 30 min,Bright spot on dark side-7th mag-becoming fainter after 20h15m UT,Elger,bright spot dark fainter ut,2,0.33487379531648215,-0.03018851661764548
1867,Apr,12,Aristarchus-vicinity: 1 hr,Bright spot on dark side-7th mag.,Elger,bright spot dark,2,0.6018427346212957,-0.02578354738989443
1867,May,6,Aristarchus: at least several hours each night,Left side of crater-very bright luminous point-appearing like a volcano,Flammarion,left side bright lumin like volcano,0,0.07344395899968387,-0.08376487293753603
1867,May,7,Aristarchus-vicinity,Reddish-yellow-beacon-like light,Tempel,light,0,-0.13221091028184456,-0.16648922798036242
1867,Jun,10,Sulpicius Gallus,Three blackish spots,Dawes,three blackish spot,0,0.16332407204965213,-0.09482055479856799
1870,May,13,Plato,Bright spots-extraordinary display,Pratt-Elger,bright display,2,0.5677595702189234,-0.001642563497034442
1872,Jul,16,Plato,NE portion of floor hazy,Pratt,ne portion floor hazi,0,-0.14153058714673292,-0.05213213389718678
1873,Jan,4,Kant,Luminous purplish vapors,Trouvelot,lumin purplish vapor,0,-0.12316102170503351,-0.052595228637139536
1873,Apr,10,Plato,Under high sun-two faint clouds in W part of crater,Schmidt,high faint cloud w part crater,0,-0.1365329926942187,-0.0968813994360241
1873,Nov,1,Plato,Unusual appearance,Pratt,unusu appear,0,-0.14456872392885917,-0.06989620185787662
1874,Jan,1,Plato,Unusual appearance,Pratt,unusu appear,0,-0.14456872392885917,-0.06989620185787662
1877,Feb,20,Eudoxus: 1 hr,Fine line of light like luminous cable drawn W to E across crater,Trouvelot,fine line light like lumin cabl drawn w e across crater,0,-0.11890259662629409,-0.14743996080647775
1877,Feb,27,,Lunar eclipse. Flickering light on lunar surface,Dorna,lunar flicker light lunar surfac,0,-0.1391280006728605,-0.1020635470449024
1877,Mar,17,,Moons horns showed traces of atmosphere. Moon 2d16h old (2.75 in. reflector),Dennett,moon horn show trace moon old,0,-0.1273536486965651,-0.06142657564159023
1877,Mar,21,Proclus,Brilliant illumination,Barrett,brilliant illumin,0,-0.1277037825470999,-0.04522739240599639
1877,May,15,E of Picard,Bright spot,,bright spot,2,0.8231119119164837,-0.10701441993494196
1877,Jun,17,Bessel,Minute point of light (seen with 2.75 in. reflector),Dennett,minut point light,0,-0.12553008987557684,-0.11877241359625974
1877,Jul,29,Plato,S of center of crater-bright streak-disappeared at 2:30am,Gray,center,0,-0.11930952561221259,-0.035285219910372805
1878,Feb,2,At limb,Changes in spectrum during solar eclipse suggesting lunar atmosphere,Observers at Melbourne-Australia,chang spectrum solar eclips suggest lunar atmospher,0,-0.13990235680241717,-0.06885276278928149
1878,Mar,10,Mare Crisium,White patch E of Picard badly defined,Noble,white patch e picard badli defin,0,-0.1445185987803362,-0.09462271308613691
1878,Oct,5,Plato,Faint bright shimmer like thin white cloud,Klein,faint bright shimmer like thin white cloud,0,0.03034626366736271,-0.09264625467693836
1878,Oct,21,3 hr,Half of moons terminator obliterated,Hirst,half moon termin obliter,0,-0.12180958902797921,-0.03839165519557775
1878,Nov,1,Messier,Obscuration of Messier,Klein,obscur messier,1,-0.14311425519258925,-0.07089350504824946
1878,Nov,9,Plato,Faint but unmistakable white cloud-not seen before,Klein,faint unmistak white seen,0,-0.13645338233727283,-0.07909910359370989
1878,Dec,4,Agrippa-Kleins Object and the oval spot nearby,Odd misty look as if vapour were in or about them.,Capron,odd misti look vapour,0,-0.1228222719895536,-0.03558330256035562
1880,Jan,18,Whole of Mare Nectaris,Foggy. Fog extended into the floor of Fracastorius. Gruithuisen said that the seeing was unsatisfactory.,Gaudibert,fog extend floor gruithuisen said see,0,-0.13873990439907133,-0.062306819995693534
1881,Feb,3,Aristarchus (on dark side-limb area),Very bright (8.0 mag star) with pulsations,Gamma,bright mag pulsat,0,0.10384949732310444,-0.04432902198436484
1881,Jul,4,,Two pyramidal luminous protuberances appeared on the moons limb .... These points were a little darker than the rest of the moons face. They slowly faded away ....,Several observers,two pyramid lumin protuber appear moon limb point littl darker rest moon slowli fade away,0,-0.12568108064363903,-0.08944801539270364
1881,Aug,6,Aristarchus region,Whole region between Aristarchus and Herodotus and S part of Great Rille (Schroters Valley) appeared in strong violet light as if covered with fog,Klein,whole region aristarchu herodotu part great rill appear strong violet light cover fog,0,-0.13887416147260886,0.12633702307788172
1881,Dec,5,Aristarchus,During eclipse-Aristarchus was a white spot in the coppery disk and continued so. (Lunar eclipse),S.J. Johnson,white spot copperi disk continu,0,0.03248912526464752,-0.0826227546456387
1882,Jan,29,Eudoxus: 30 min,Unusual shadow,,unusu shadow,0,-0.15610765109907035,-0.07809383381032875
1882,Feb,27,Eudoxus: 1 hr-and 15 min,Unusual shadow (on,Feb,unusu shadow,0,-0.15610765109907035,-0.07809383381032875
1882,Mar,27,Plato,Floor glowed with milky light,A.S. Williams,floor glow milki light,0,-0.17671518402220585,-0.18443200017157452
1882,Apr,24,Near Godin and Agrippa,Shadows blurred and oscillating. Shadows in Aristoteles steady. Intervals between obscurations-10 min,Ridd,shadow blur shadow aristotel interv min,0,-0.1635705463227203,-0.07724705521834456
1882,May,19,Just E of Mare Crisium against Prom. Agarum,Cloud-not less than 100 mi x 40 or 50 mi: no trace seen on,May,less mi x trace seen,0,-0.1304253513067822,-0.05240676343269993
1882,Jul,17,Just E of Mare Crisium-against Prom. Agarum,Feathery mist or cloud,J.G. Jackson,featheri mist cloud,0,-0.13758673321175022,-0.05813791357303697
1882,Nov,7,Dark limb,Line of light around dark limb-attributed to atmosphere-well seen-equally bright throughout length. Age of moon 26.5 days,Hopkins,line light around dark bright throughout age moon day,0,0.007156916103667306,-0.05499148521637367
1883,Mar,12,Dark limb,Line of light (see 1882,Nov,line light,0,-0.133581885818428,-0.1222701423861036
1883,Mar,12,Taruntius and environs,Peculiar blurred appearance. Unmistakable variations in the sharpness of the shadows of the ring plain,Davies,peculiar blur unmistak variat sharp shadow ring plain,0,-0.13562698857035474,-0.05356255809341338
1883,Nov,5,Aristarchus,Very bright (7.0-8.0 mag star),R,bright mag,0,0.21818474307191943,-0.04658134962322192
1884,Feb,5,Kepler,Illumination in Kepler,Morales,illumin kepler,0,-0.12326270224387605,-0.04083332044255125
1884,Oct,4,Tycho,During eclipse-bright spot like a star of the 2nd mag. (Lunar eclipse),Parsehian,spot like star,2,0.18410381803252732,-0.1609870881948833
1884,Nov,29,Aristarchus: 2 hr,Nebulous at center: elsewhere features well defined,Hislop,nebul elsewher featur well defin,0,-0.1207144817968382,-0.04062390573591095
1885,Feb,19,Small crater near Hercules,Small crater was dull red with vivid contrast,Gray,small crater dull red vivid contrast,0,-0.13386015973230747,-0.12843216492063958
1885,Feb,21,Cassini,Red patches,Knopp,red patch,0,-0.2014471612381245,-0.20043211011800147
1885,Jun,10,Aristarchus,Starlike light,Tempel,starlik light,0,-0.14326529056136428,-0.13812094398921712
1886,Sep,6,Plato,Streak of light on dark floor of crater in shadow (67 mm refl.),Valderama,streak light dark floor crater shadow mm,0,-0.14728526540100217,-0.14916127728237102
1887,Feb,1,Plato,Appearance of light in crater,Kruger,appear light crater,0,-0.14048147299624328,-0.16537529078028818
1887,Feb,2,La Hire,Intense yellow streak that cast shadows around neighbouring features,Klein,intens yellow streak cast shadow around neighbour featur,0,-0.1331984967897254,-0.03548806718690497
1888,Jul,15,S edge of Alps on dark side of moon,Lunar volcano: 1 mag star. Yellow light tinged with red from refractors secondary spectrum,Holden,lunar mag yellow light ting red refractor secondari spectrum,0,-0.14886962057135147,-0.13893115706631876
1888,Nov,23,45 min,A triangular patch of light (seen with 3 12 in. refractor and 180 x mag),von Speissen and others,triangular patch light refractor x,0,-0.15135859929480872,-0.14437943793866725
1889,Mar,30,Copernicus,Black spot,Gaudibert,black spot,0,0.16702757381493416,-0.09666244275544617
1889,May,11,Gassendi,Black spot on rim,,black spot rim,0,0.10363693981238935,-0.08615610618426973
1889,Jun,6,Plato B and D (Schmidts designation),Two extremely bright spots (8 in. refractor),Evon Lade,two extrem bright spot,2,0.43488977098393655,-0.08976442665515146
1889,Jul,12,Aristarchus,During lunar eclipse-brilliance in surrounding gloom was striking,Krueger,lunar surround gloom strike,0,-0.13157295668323502,-0.05100318200779768
1889,Sep,3,Alpetragius: 30 min,Central peak-its shadow and all the floor seem to be seen through haze.,Barnard,central shadow floor seem seen,0,-0.16331243316509422,-0.09754188249115278
1889,Sep,13,Plinius,White spot over central peak,Thury,white spot central peak,0,0.07390148155354435,-0.10683501454625234
1889,Oct,3,Alpetragius,Hazy,Barnard,hazi,0,-0.128373601451533,-0.04656830174215801
1890,Oct,3,Posidonius,Unusual shadow,Meller,unusu shadow,0,-0.15610765109907035,-0.07809383381032875
1891,May,23,Aristarchus region,Lunar eclipse-half hour before end of totality-Aristarchus and region immediately N of it became conspicuous and increased in brightness from that time on,W.E. Jackson,lunar hour end region immedi n becam conspicu increas bright time,0,-0.02265891850171236,-0.046213917561567106
1891,Sep,16,Schroters Valley,Dense clouds of white vapour were apparently arising from its bottom and pouring over its SE IAU:SW wall in the direction of Herodotus.,W.H. Pickering,dens cloud white vapour appar aris bottom pour se wall direct,0,-0.07009033312895065,0.005670481577024335
1891,Sep,17,Schroters Valley,Apparent volcanic activity,W.H. Pickering,appar volcan activ,0,-0.14778734259635312,-0.056047865375337576
1891,Oct,14,Schroters Valley,Apparent volcanic activity,W.H. Pickering,appar volcan activ,0,-0.14778734259635312,-0.056047865375337576
1891,Nov,7,Aristarchus,Very distinct luminous point,dAdjuda,distinct lumin point,0,-0.11617045256850633,-0.07103074486796127
1892,Mar,31,Thales,Pale luminous haze,Barnard,pale lumin haze,0,-0.12946160867378279,0.037141972661126656
1892,May,10,Schroters Valley,Apparent volcanic activity,W.H. Pickering,appar volcan activ,0,-0.14778734259635312,-0.056047865375337576
1892,May,11,,During partial lunar eclipse-extension of earths shadow beyond the cusps,,partial lunar earth shadow beyond cusp,0,-0.14586006243231492,-0.06968184128144321
1893,Jan,30,Schroters Valley,Apparent volcanic activity,W.H. Pickering,appar volcan activ,0,-0.14778734259635312,-0.056047865375337576
1893,Apr,1,,Shaft of light,de Moraes,shaft light,0,-0.12892985288408987,-0.10728423293092153
1894,Feb,23,Henke (now Daniell) and N wall of Posidonius,Strong brownish-red coppery hue in Henke and also on N wall of Posidonius,Krieger,strong copperi hue henk also n wall posidoniu,0,-0.05522629886202853,0.17538639144822504
1895,Mar,11,,During lunar eclipse-very striking color in SE quadrant,Foulkes,lunar strike color se quadrant,0,-0.1470888580321178,-0.05537631454972413
1895,Sep,25,,Shaft of light,Gaboreau,shaft light,0,-0.12892985288408987,-0.10728423293092153
1897,Jun,14,Schroters Valley,Apparent volcanic activity,W.H. Pickering,appar volcan activ,0,-0.14778734259635312,-0.056047865375337576
1897,Sep,21,Aristarchus,Glimmering streaks,Molesworth,glimmer streak,0,-0.12631213572701064,-0.05845958422865592
