Year,Month,Day,Location,Description,Credit,Clean_Description,Cluster,PC1,PC2
1956,Nov,16,Aristarchus,Floor: bright bluish tint E of central peak: blue-gray W of central peak,Bartlett,bright bluish tint e central w central peak,0,-0.01670260434982453,0.006653232049587022
1956,Nov,17,Aristarchus,Tycho,Kepler,tycho,0,-0.11588503521972685,-0.03658124201194542
1957,Mar,17,Aristarchus,Strong violet glare: E wall bright spot and whole length of E wall. Dark violet in nimbus: pale violet on plateau,Bartlett,strong violet e wall bright spot whole length e dark violet pale violet plateau,3,0.15656483452326728,0.531831347689001
1957,Mar,18,Aristarchus,Strong violet glare: E wall bright spot,E wall. Very strong violet hue in nimbus,strong violet e wall bright spot,2,0.4532386953414341,0.43498215692102743
1957,Jun,11,Aristarchus,Floor: uniform bluish radiance,Bartlett,uniform bluish radianc,0,-0.13630699917438838,-0.00029429469203951766
1957,Jul,11,Aristarchus,Pale violet radiance in crater and on plateau,Bartlett,pale violet radianc crater plateau,3,-0.1261806653661144,0.23328885059964785
1957,Aug,18,Aristarchus,Pale blue tint on all walls: floor dazzling white,Bartlett,pale blue tint floor dazzl white,0,-0.18468546130441219,0.10727971374268472
1957,Oct,11,Aristarchus,Bright blue-violet: E wall bright spot,E,bright e wall bright spot,2,0.8032935176491095,0.07335220863226306
1957,Oct,12,Aristarchus,Bright blue-violet glare: E wall bright spot,E,bright e wall bright spot,2,0.8032935176491095,0.07335220863226306
1957,Oct,12,Aristarchus: 1 hr,Bright flash: then brownish eccentric patch,Dachille and daughter,bright brownish eccentr patch,0,0.06645120619146472,-0.0777728048372045
1957,Oct,13,Aristarchus,Weak violet glare: whole length of E wall,Bartlett,weak violet whole length e wall,3,-0.006727323350056417,0.37044125314958626
1957,Oct,13,In or near Aristarchus,Bright spot of light (explosion),Haas,bright spot light,2,0.5409839822301808,-0.17989575174180164
1957,Oct,15,Aristarchus,Strong blue-violet glare,whole length of E wall,strong glare,0,-0.16795448602604876,0.5826746496195724
1957,Oct,16,Aristarchus,Faint blue-gray tint: N,NW,faint n,0,-0.1350898917607726,-0.05689066975528939
1958,May,1,Aristarchus,Entire sunlit area of floor,bluish,entir sunlit area floor,1,-0.14129404899975673,-0.08924789433082632
1958,May,4,Aristarchus,Blue-violet glare S side of E wall bright spot: dark violet in nimbus: pale violet on plateau,Bartlett,glare side e wall bright dark violet pale violet plateau,3,0.09002582656379576,0.6106305509410735
1958,May,31,Aristarchus,Pale blue-gray floor: violet band E base of central peak,Bartlett,pale violet band e base central peak,3,-0.14112954433784655,0.18272747628688793
1958,Jun,29,Aristarchus,Floor: very pale bluish tint,Bartlett,pale bluish tint,0,-0.14634397992015608,0.12348202141761698
1958,Jul,2,Aristarchus,Strong violet glare whole length of E wall,involving E wall bright spot: dark violet,strong violet glare whole length e wall,3,-0.05499921978317511,0.6447390389772488
1958,Jul,3,Aristarchus,Bright blue-violet glare: E,NE rim. Dark violet,bright e,2,0.5677595702189234,-0.001642563497034442
1958,Aug,2,Aristarchus,Strong violet glare: E wall bright spot,NE wall. Dark violet,strong violet e wall bright spot,2,0.4532386953414341,0.43498215692102743
1958,Sep,1,Aristarchus,Whole crater filled with pale violet radiance,especially bright on walls. Pale violet N and NE of crater and on plateau,whole crater fill pale violet radianc,3,-0.1287446708211809,0.20716079708060872
1958,Sep,23,Piton,Became enveloped in an obscuring cloud-like mist,Moore,becam envelop obscur mist,1,-0.1408003089612666,-0.06051884145764584
1958,Oct,16,N of Mare Crisium,Bright spot in dark area of moon,Mayemson,bright spot dark area moon,2,0.33401157645219925,-0.07573959779514285
1958,Nov,3,Alphonsus,Reddish glow,followed by effusion of gas,reddish glow,0,-0.15851917037776866,-0.0978313163392331
1958,Nov,19,Alphonsus: 30 min,Diffuse cloud over central mountain,Poppendiek,diffus cloud central mountain,0,-0.13651627528898252,-0.054058645297547066
1958,Nov,19,Alpetragius,Portion of shadow in crater vanished,Stein,portion shadow crater vanish,0,-0.13973796736184604,-0.09438860302373427
1958,Nov,19,Alphonsus,Reddish patch close to central peak,Wilkins,reddish patch close central peak,0,-0.15842942976427093,-0.0925267938433182
1958,Nov,22,Alphonsus,Gray spot,Bartha,gray spot,0,0.14250401647862462,-0.08813957539983415
1958,Dec,19,Alphonsus,Reddish patch close to central peak,Wilkins,reddish patch close central peak,0,-0.15842942976427093,-0.0925267938433182
1959,Jan,22,Aristarchus,Interior,light brilliant blue,interior,0,-0.1277554756184652,-0.02897803508198984
1959,Jan,23,Aristarchus,Brilliant blue interior,Alter,brilliant blue interior,0,-0.16311794785564018,0.047586438584253904
1959,Feb,18,Alphonsus,Red patch,Hole,red patch,0,-0.2014471612381245,-0.20043211011800147
1959,Mar,24,Aristarchus,Strong blue and blue-violet glares: E wall,E wall bright spot,strong blue e wall,0,-0.04340275467800734,0.3669328182614684
1959,Mar,25,Aristarchus,Intense blue-violet glare on whole length of E rim and on E wall bright spot: dark violet hue in nimbus,Bartlett,intens glare whole length e rim e wall bright dark violet hue nimbu,3,0.06619531606695005,0.4821115927012486
1959,Apr,19,W of Mare Humorum,Bright point to W of mare,McFarlane,bright point w mare,0,0.11125346398080364,-0.05494637493581954
1959,Sep,5,Aristarchus,Irregular,intermittent starlike point of light,irregular,0,-0.11410029397912765,-0.03180090444102367
1959,Sep,13,Littrow,Obliterated by a hovering cloud (Feist disagrees with Bradford),Bradford,obliter hover cloud disagre,0,-0.12667125050344777,-0.0491450235977312
1959,Oct,23,Alphonsus,Red glow seen. Spectrum showed unusual features,Kozyrev,red glow spectrum show unusu featur,0,-0.17389328944592516,-0.11958056304220994
1960,Jan,6,Alphonsus,Red spot,Warner,red spot,2,0.20096126887742283,-0.22376841771296047
1961,Feb,15,Aristarchus,Plato,Seen as bright features during solar eclipse (on film of eclipse shown by BBC,plato,0,-0.11887181615959029,-0.03721204530093617
1961,May,30,Aristarchus,Enhancement of spectrum in UV,Grainger,enhanc spectrum uv,0,-0.1364435809026895,-0.04911664324594553
1961,Jun,27,Aristarchus,ray near Bessel,Enhancement of spectrum in UV,ray near bessel,0,-0.11675826006046071,-0.05005795597157963
1961,Jun,29,E of Plato,Enhancement of spectrum in UV,Grainger,enhanc spectrum uv,0,-0.1364435809026895,-0.04911664324594553
1961,Oct,18,Eratosthenes,Bright spot in crater,Bartlett,bright spot crater,2,0.5742060467842863,-0.14283181568025535
1961,Nov,26,Aristarchus region,Red glow seen. Anomalous spectra in red and blue,Kozyrev,red glow anomal spectra red blue,0,-0.205474174795957,-0.09509858582760199
1961,Nov,28,Aristarchus region,Red glow seen. Anomalous spectra in red and blue,Kozyrev,red glow anomal spectra red blue,0,-0.205474174795957,-0.09509858582760199
1961,Dec,3,Aristarchus region,Red glow seen. Anomalous spectra in red and blue,Kozyrev,red glow anomal spectra red blue,0,-0.205474174795957,-0.09509858582760199
1962,Sep,5,Region of Walter near terminator: 7 min,Faint point of light,Chalk,faint point light,0,-0.13544117415563856,-0.14131032144714073
1962,Sep,16,Whole moon,Spectrum showed UV emission,particularly in region of H and K lines by comparison with spectra of Sun,spectrum show uv emiss,0,-0.1334802674935156,-0.04656340707371791
1962,Oct,8,Aristarchus: 1 hr,Activity,Adams,activ,0,-0.13515466188620695,-0.04852073306434319
1963,Oct,5,Aristarchus region,Enhancement of 30 percent at 5450 A,Scarfe,enhanc percent,0,-0.12965302566962963,-0.043202091158991734
1963,Oct,30,Aristarchus region,Color changes: reddish-orange to ruby patches,Greenacre,color rubi patch,0,-0.1821326378037517,-0.11147819479401633
1963,Oct,30,Cobrahead: 7 min,Brightened area,7th to 11th mag,brighten area,1,-0.13042426244013466,-0.06775130620011245
1963,Nov,1,Near Kepler: 20 min,Enhancement of large area in red light,Kopal,enhanc larg area red light,1,-0.15900758863149747,-0.16385117382855308
1963,Nov,11,Aristarchus,Color changes,Jacobs,color chang,0,-0.14720303287925326,-0.04731086446295047
1963,Nov,28,Aristarchus,Schroters Valley: 1 hr 15 min,Red spots,schroter hr min,0,-0.13545096650470867,-0.051744352555592295
1963,Nov,28,Cobrahead: 35 min,Pink spot on W side,Tombaugh,pink spot w side,0,0.1203295253899533,-0.08671199699022514
1963,Nov,28,Aristarchus,Anaximander: 1 hr,Red spot in Aristarchus and also on N edge of Anaximander,hr,0,-0.12064844234790006,-0.04012824290182039
1963,Dec,28,Aristarchus to Herodotus: 31 min,Extensive red area,9 students at Hiroshima,extens red area,1,-0.15430293079152882,-0.12766627548352608
1963,Dec,29,Aristarchus region: 5 hr,Purplish-blue patch,Doherty and others,patch,0,-0.16526798315648303,-0.12799485012984943
1963,Dec,30,NE limb: 20 min,During eclipse,anomalous reddish glow inside umbra (Lunar eclipse),eclips,0,-0.13008484586947883,-0.06859587501978248
1964,Feb,25,Cobrahead: 3 min,Aristarchus: 1 min,Red flashes,min,0,-0.14291433996399275,-0.05205378292817019
1964,Mar,16,Aristarchus,Sudden red glow on SW rim,Lecuona,sudden red glow sw rim,0,-0.16088669298056624,-0.11503038316918482
1964,Mar,18,Aristarchus,Flash,Earl and brother,flash,0,-0.11981683533222137,-0.046314605475121534
1964,Mar,26,Aristarchus,Floor: blue clay color,Bartlett,blue clay color,0,-0.17739518975806848,0.045139975848374723
1964,Mar,28,Aristarchus,Blue-violet glare,E wall and N wall: E wall bright spot: violet tinge in nimbus,glare,0,-0.16641152111819246,0.5849613505531913
1964,Apr,22,Near Ross D,Bright spot,Cross and others,bright spot,2,0.8231119119164837,-0.10701441993494196
1964,Apr,26,Region of Censorinus,Surface brightening somewhat similar to Kopal-Rackham (1963,Nov,surfac brighten somewhat similar,0,-0.12641920317111463,-0.03949739101285748
1964,May,17,Theophilus,Crimson color on W rim,10 mag,crimson color w rim,0,-0.14549647591202514,-0.04787596782684003
1964,May,18,SE of Ross D: 1 hr 5 min,White obscuration moved 20 mph,decreased in extent. Phenomenon repeated. Newtonians 8 f7 and 9 f7 used,white obscur move mph,1,-0.1378356436960902,-0.08494151189154339
1964,May,20,Plato: 10 min,Strong orange-red color on W rim of crater,+ 10 mag,strong color w rim crater,0,-0.15134769480842938,0.05738262044656114
1964,May,26,Aristarchus,Strong blue-violet glare,E wall and E wall bright spot: strong violet tinge in nimbus,strong glare,0,-0.16795448602604876,0.5826746496195724
1964,May,28,Aristarchus,Blue-violet glare: E wall bright spot,E,e wall bright spot,2,0.7564351786314384,0.09169147368761894
1964,Jun,6,Aristarchus area: 50 min,Spur between Aristarchus and Herodotus: red spots (glow) in Schroters Valley,Schmidling,spur aristarchu red spot schroter valley,0,0.011433788525602166,-0.12251892475884794
1964,Jun,17,SE of Ross D,Moving bright spot: 2 brief obscurations of part of wall. Newtonian,19 f7,move bright brief obscur part newtonian,1,0.04568549572992698,-0.05896754610982533
1964,Jun,20,Aristarchus,Nimbus only: dark violet hue,Bartlett,nimbu dark violet hue,3,-0.09343331725351697,0.29835769460952566
1964,Jun,21,S of Ross D: 2 hr,1 min,Moving dark area. Newtonian 19 f7,min,0,-0.14291433996399275,-0.05205378292817019
1964,Jun,23,Aristarchus,Blue-violet glare,NE rim: strong violet tinge in nimbus,glare,0,-0.16641152111819246,0.5849613505531913
1964,Jun,25,Aristarchus,Very bright during eclipse (direct photograph,lunar eclipse),bright eclips photograph,0,0.08636863003506279,-0.04807409135983127
1964,Jun,25,Grimaldi,During lunar eclipse,white streak from Grimaldi toward limb,lunar eclips,0,-0.1431135701821458,-0.08642198325014828
1964,Jun,26,Aristarchus,Dark violet in nimbus: pale violet on plateau. Absent from crater,Bartlett,dark violet pale violet absent crater,3,-0.10176901375960047,0.33709575848969153
1964,Jun,27,Aristarchus,Bright blue-violet: E wall bright spot,E,bright e wall bright spot,2,0.8032935176491095,0.07335220863226306
1964,Jun,28,Aristarchus,Blue-violet glare: E wall bright spot,E,e wall bright spot,2,0.7564351786314384,0.09169147368761894
1964,Jun,28,S region of Aristarchus,Reddish-brown tone observed,Bartlett,tone observ,0,-0.12913274659585475,-0.052326302244009325
1964,Jul,16,SE of Ross D,Temporary hill,est 3 km diam and shadow seen,temporari hill,0,-0.11410029397912765,-0.03180090444102367
1964,Jul,17,Plato,Faint pink bands at base of inner W wall and on rim of N wall,Bartlett,faint pink band base inner w wall rim n wall,0,-0.010458188105438066,0.0852422571242886
1964,Jul,18,SE of Ross D,Bright area moved and shrank. Extent greater with amber filter,Harris,bright area move extent greater amber filter,1,0.05170938925627027,-0.05524767730029466
1964,Jul,18,Plato: some minutes,Pink tinge to W wall,10th mag,pink ting w wall,0,-0.020077135146891183,0.06581877439622577
1964,Jul,28,Aristarchus,Blue-violet glare: E wall bright spot. Dark violet in nimbus: pale violet on plateau,Bartlett,e wall bright dark violet pale violet plateau,3,0.1265492010577695,0.48582341001968266
1964,Jul,29,Aristarchus,Nimbus only: dark violet hue,Bartlett,nimbu dark violet hue,3,-0.09343331725351697,0.29835769460952566
1964,Jul,31,Aristarchus,Pale blue tint: NE,N,pale blue ne,0,-0.15897327130330777,0.17902900455284748
1964,Aug,16,SE of Ross D: 1 hr,2 min,Bright area. Condensations varying with time,min,0,-0.14291433996399275,-0.05205378292817019
1964,Aug,24,Aristarchus,Bright blue-violet: E wall bright spot,E,bright e wall bright spot,2,0.8032935176491095,0.07335220863226306
1964,Aug,25,Aristarchus,Bright blue-violet: E wall bright spot,E,bright e wall bright spot,2,0.8032935176491095,0.07335220863226306
1964,Aug,26,Aristarchus,Blue-violet glare: E wall bright spot,E,e wall bright spot,2,0.7564351786314384,0.09169147368761894
1964,Aug,26,Aristarchus: 1 hr,Red and blue bands,Gennatt,red blue band,0,-0.19816169782840581,-0.006432935053848386
1964,Aug,27,Aristarchus,Blue-violet glare: E wall bright spot,E,e wall bright spot,2,0.7564351786314384,0.09169147368761894
1964,Aug,28,Aristarchus,Faint blue-violet radiance,E wall bright spot and NE rim. Dark violet in nimbus,faint radianc,0,-0.13854139403436916,-0.03453005753950747
1964,Sep,18,Aristarchus,Craterlet,base NW wall: bluish,craterlet,0,-0.11980840255419178,-0.03575393586535489
1964,Sep,20,Aristarchus to Herodotus,Several red spots in area,Crowe,sever red spot area,1,0.11425529353905108,-0.2081674640617508
1964,Sep,20,SE of Ross D,Bright obscuration,Cross,bright obscur,1,0.18073360832635288,-0.052134445560128896
1964,Sep,22,Aristarchus,Bright blue-violet glare: E wall bright spot and NE rim. Dark violet in nimbus,Bartlett,bright e wall bright spot ne dark violet nimbu,2,0.46136825773458007,0.28740341750923576
1964,Sep,22,Kunowsky: 1 hr,Red area blinked in blinker,Gillheaney,red area blink blinker,1,-0.1777131480008758,-0.16531143527721023
1964,Sep,23,Aristarchus,Blue-violet flare glare?: E wall bright spot,E,flare e wall bright spot,2,0.42816936787435256,0.04448573142079436
1964,Sep,25,Aristarchus,Blue-violet glare: E wall bright spot. Dark violet on nimbus,Bartlett,e wall bright dark violet nimbu,3,0.22800638202224027,0.40122851099910517
1964,Sep,25,Aristarchus,Blue-violet glare: E wall bright spot. Dark violet in nimbus: pale violet on plateau,Bartlett,e wall bright dark violet pale violet plateau,3,0.1265492010577695,0.48582341001968266
1964,Sep,26,Aristarchus,Moderately intense: E wall bright spot. Dark violet,nimbus,moder e wall bright dark violet,3,0.31091960342871194,0.42920557312403335
1964,Oct,19,Aristarchus,Strong blue tint E half of floor: blue-violet glare,base E side central peak,strong blue tint e half glare,0,-0.18722961266183502,0.43793428601027135
1964,Oct,22,Aristarchus,Blue-violet glare,E wall bright spot,glare,0,-0.16641152111819246,0.5849613505531913
1964,Oct,24,Aristarchus,Blue-violet glare: E wall bright spot,E,e wall bright spot,2,0.7564351786314384,0.09169147368761894
1964,Oct,25,Aristarchus,Nimbus only: dark violet hue,Bartlett,nimbu dark violet hue,3,-0.09343331725351697,0.29835769460952566
1964,Oct,25,Aristarchus,Blue-violet glare: E wall bright spot,E,e wall bright spot,2,0.7564351786314384,0.09169147368761894
1964,Oct,27,Alphonsus,Reddish-pink patch at base of sunlit central peak,L.Johnson,patch base sunlit central peak,0,-0.15282149489435598,-0.07287923392642734
1964,Nov,14,Plato,Peak on W wall very brilliant white. At foot of peak on inner side,strong blue band. Immediately adjacent,peak w wall brilliant foot peak inner side,0,-0.06140242774156052,0.012728785695792439
1964,Nov,21,Aristarchus,Bright blue-violet glare: NE,N,bright ne,0,0.18392138318777287,0.019067605632763218
1964,Nov,23,Aristarchus,Strong blue-violet glare: N,NE,strong n,0,-0.13926532170436612,0.2371723392752956
1964,Nov,24,Aristarchus,Blue-violet glare,N rim. Dark violet in nimbus: pale violet N and NE of crater,glare,0,-0.16641152111819246,0.5849613505531913
1964,Dec,19,Aristarchus: 1 min,Brightened by a factor of 5,Budine,brighten factor,0,-0.1302710721924942,-0.03763976075278805
1964,Dec,19,,Anomalous bright area during lunar eclipse,S. Hill and student,anomal bright area lunar eclips,1,0.027913793813895756,-0.09064566267343811
1964,Dec,19,Edge of Mare Nubium,Photoelectric photometry showed strong anomalous enhancement of radiation during lunar eclipse,Sanduleak,photoelectr photometri show strong anomal enhanc radiat lunar eclips,0,-0.156517123255548,0.019572562464498545
1965,Mar,14,SE of Ross D,Crater wall partially obscured. Bright area. Cassegrain 12,f15,crater wall partial bright cassegrain,0,0.2047685941939152,0.05104124346817523
1965,Jul,1,Aristarchus,dark side,Starlike image,dark side,0,-0.06664974581905272,0.006919303080370521
1965,Jul,2,Aristarchus: 1 hr 21 min,Bright spot like star on dark side,estimated mag 4,bright spot like star dark side,2,0.32053486050376434,-0.09577282290145331
1965,Jul,3,Aristarchus: 1 hr 10 min,Pulsating spot on dark side,Emanuel,pulsat spot dark side,0,0.1180894683243325,-0.04975718650329953
1965,Jul,4,Aristarchus: 1 hr,Bright spot,no pulsations,bright spot,2,0.8231119119164837,-0.10701441993494196
1965,Jul,7,Grimaldi,White streak extended toward limb,Azevado,white streak extend toward limb,0,-0.1282163778835411,-0.07343505788048067
1965,Jul,8,Theophilus: 10 min,Bright spot,Cross,bright spot,2,0.8231119119164837,-0.10701441993494196
1965,Jul,9,Aristarchus: 2 hr 6 min,Starlike image,Emanuel,starlik imag,0,-0.13867159128244186,-0.06143276811721851
1965,Jul,31,Aristarchus,Starlike image,Welch,starlik imag,0,-0.13867159128244186,-0.06143276811721851
1965,Aug,2,Aristarchus: 1 min,Starlike brightening,8th to 9th mag,starlik brighten,0,-0.14133801044324323,-0.05816065716369003
1965,Aug,3,Aristarchus: 6 min,Starlike image,6th to 7th mag,starlik imag,0,-0.13867159128244186,-0.06143276811721851
1965,Aug,4,Aristarchus: 2 min,Starlike image,6th to 7th mag,starlik imag,0,-0.13867159128244186,-0.06143276811721851
1965,Sep,3,SE of Ross D,Ridge obscured,Harris,ridg obscur,1,-0.14311425519258925,-0.07089350504824946
1965,Sep,9,Aristarchus,Orange-red strip on floor,Presson,strip floor,0,-0.16113020577816606,-0.1073658792974152
1965,Oct,10,Aristarchus,Pale violet radiance: whole of W interior: dark violet,nimbus: pale violet on plateau,pale violet whole w dark violet,3,-0.09856999587730217,0.4518292768762486
1965,Oct,11,Aristarchus,Whole crater,exclusive of S area,whole crater,0,-0.11719293042870774,-0.00534758825493935
1965,Oct,12,Aristarchus,Nimbus only: dark violet hue,Bartlett,nimbu dark violet hue,3,-0.09343331725351697,0.29835769460952566
1965,Oct,13,Aristarchus,Pale,blue-violet tint on E wall bright spot and whole length of E wall: pale violet radiance in crater,pale,3,-0.13194055378706138,0.1416697139453097
1965,Nov,15,Aristarchus,Bright spots,L.Johnson,bright spot,2,0.8231119119164837,-0.10701441993494196
1965,Dec,1,,Reddish glow followed by black obscuration,Evrard and others,reddish glow follow black obscur,1,-0.1576801222662429,-0.10059337195831183
1965,Dec,4,Ross D,Obscuration of part of rim,also bright area 7-10 km diameter,obscur part rim,1,-0.1354888985587863,-0.06541163650221164
1966,Feb,7,Aristarchus,Nimbus only: intense violet hue,Bartlett,nimbu intens violet hue,3,-0.10599305100091594,0.27821172855898024
1966,Mar,29,Archimedes,Floor bands brilliant,E.G. Hill,floor band brilliant,0,-0.15543442288740997,-0.07032263891419534
1966,Apr,2,Aristarchus: 20 min,Central peak very bright,M. Brown,central peak bright,0,0.10061219025324646,-0.032958969467313026
1966,Apr,3,Aristarchus: 30 min,Central peak very bright,M. Brown,central peak bright,0,0.10061219025324646,-0.032958969467313026
1966,Apr,12,Whippey,B.A.A. Lunar Sec. Circ. 1967,2,lunar,0,-0.13938519019275336,-0.07236643418782586
1966,Apr,30,Gassendi,Red glows,Sartory,red glow,0,-0.19344238852959006,-0.17348264893172635
1966,May,1,Aristarchus: 50 min,Red patch,Patterson,red patch,0,-0.2014471612381245,-0.20043211011800147
1966,May,1,Aristarchus: 15 min,Small intense white spot NW of crater wall,M. Brown,small intens white spot nw crater wall,0,0.1276397656270167,-0.019983425492144026
1966,May,27,Alphonsus: 50 min,Faint red patches,Sartory,faint red patch,0,-0.19572606478703664,-0.17984448639454015
1966,May,30,Gassendi: 7 min,Blink,orange patch and obscuration,blink,0,-0.14982929917699087,-0.07913397905341402
1966,Jun,1,Aristarchus,Entire sunlit area of floor,bluish,entir sunlit area floor,1,-0.14129404899975673,-0.08924789433082632
1966,Jun,3,Aristarchus,Nimbus only,violet hue,nimbu,0,-0.11025117514719662,0.07551559139675323
1966,Jun,26,Alphonsus: 10 min,Absorption band (4880 +-50A) seen in spectrum of central peak,Harris,absorpt band seen spectrum central peak,0,-0.14782387598200702,-0.05418694993305274
1966,Jun,27,Plato: 15 min,Inside SW wall of crater,blink,insid sw wall crater,0,-0.0312770669551231,0.02350625122521782
1966,Jul,10,Triesnecker: 1 hr,Bright streak in crater,Allen,bright streak crater,0,0.14164016679028293,-0.0936087935059307
1966,Aug,4,Plato: 53 min,26 min,Red color,min,0,-0.14291433996399275,-0.05205378292817019
1966,Sep,2,Gassendi: 3 hr,Reddish patches,Moore,reddish patch,0,-0.16415233927234418,-0.1184978127964147
1966,Sep,2,Alphonsus: intermittent,1 hr 2 min,A series of weak glows: Final flash observed at     Whippey,hr min,0,-0.13820862073637466,-0.05151983686862103
1966,Sep,3,Gassendi,Blinks on NE,ENE walls and SW and W of central peak,blink ne,0,-0.1385239749205777,-0.03453737565843296
1966,Sep,25,Gassendi: 30 min,Reddish patches,Moore,reddish patch,0,-0.16415233927234418,-0.1184978127964147
1966,Sep,25,Plato: 3 min,Blinks in crater,Moseley,blink crater,0,-0.14410317303292716,-0.11756925154295297
1966,Oct,25,SE of Ross D,Large bright area obscuring half of crater wall. Not present,Oct,larg bright area obscur half crater present,1,0.015677680274532056,-0.07891070216507544
1966,Oct,25,Gassendi,Red blinks,N wall,red blink,0,-0.18765898365779798,-0.15857851245336888
1966,Oct,29,Copernicus,N rim: 45 min,Red spot,n min,0,-0.14291433996399275,-0.05205378292817019
1966,Dec,22,Messier (W.H. Pickering): 30 min,Blinks on floors of both craters,Kelsey,blink floor crater,0,-0.16511892546544216,-0.14505801115839928
1966,Dec,23,Plato: 55 min,Numerous light streaks on floor,three bright spots on floor,numer light streak floor,0,-0.1586078464427324,-0.16812906011024464
1966,Dec,27,Gassendi: 35 min,Very faint blink on SW floor and another N of it on NW floor (observer considers observation very suspect),Kelsey,faint blink sw floor anoth n nw floor consid observ,0,-0.16929057228868027,-0.11308663537906265
1967,Jan,21,Gassendi,Small blink and suspect faint colored patch in outer W wall in position of original observation of 1966,Apr,small blink suspect faint color patch outer w wall posit origin observ,0,-0.10670229010342919,-0.05241627940474719
1967,Feb,17,Alphonsus: 25 min,Blink just inside the SW floor of crater suspected on elevation NW of dark patch,Moore,blink insid sw floor crater suspect elev nw dark patch,0,-0.1500923962890994,-0.10487247391048979
1967,Feb,19,Moseley,Moore,B.A.A. Lunar Sec. Circ. 1967,moor,0,-0.11410029397912765,-0.03180090444102367
1967,Mar,22,Gassendi,Red color and blink,Moseley,red color blink,0,-0.2002631819709223,-0.14593205406694396
1967,Mar,23,Gassendi,Red color under S wall,Sartory,red color wall,0,-0.054960549156430054,0.006264683390956963
1967,Mar,23,Cobrahead,Red color outside SE wall,Moore,red color outsid se wall,0,-0.07699149779973019,-0.004253934570323136
1967,Mar,23,Aristarchus,Red glows,Sartory,red glow,0,-0.19344238852959006,-0.17348264893172635
1967,Apr,15,Aristarchus (on dark side): 1 hr 45 min,Aristarchus very bright. Seeing very good until 21h00m UT,after which seeing too bad to continue observing. On,aristarchu see good ut,0,-0.11535092963344425,-0.040310430006650376
1967,Apr,21,Aristarchus: 1 hr 59 min,Bright points on S wall. Red patch to NE,Darnell,bright point red patch ne,0,0.014851274810837138,-0.12716449133551275
1967,Apr,21,Schroters Valley,Cobrahead,Red color,cobrahead,0,-0.11918551480620103,-0.03551107106624802
1967,Apr,22,Aristarchus (on bright side),Aristarchus so bright that it could be seen with the naked eye,Classen,aristarchu bright could seen nake eye,0,0.09413462895128136,-0.04662492213397692
1967,May,20,Aristarchus: 15 min,Red spots on south rim. Moon low,Darnell,red spot south moon low,0,0.049966099561951145,-0.15830621911408452
1967,May,20,Gassendi,Elongated blink in crater,SW part of floor,elong blink crater,0,-0.14410317303292716,-0.11756925154295297
1967,May,29,Aristarchus: 45 min,Red-brown color,C.A. Anderson,color,0,-0.15924965874431102,-0.04951706758454329
1967,Jun,18,Gassendi: 1 hr 20 min and 1 hr 9 min,Faint redness outside the NW and SW wall of Gassendi,Whippey,faint red outsid nw sw wall gassendi,0,-0.07725845149442664,-0.02088468328771867
1967,Aug,13,Alphonsus: 15 min,Glow in interior of crater,Horowitz,glow interior crater,0,-0.14759656727244674,-0.09976777012048361
1967,Sep,11,Mare Tranquilitaties: 8-9 sec,Black cloud surrounded by violet color,Montreal group,black cloud surround violet color,0,-0.13727319546544692,0.09992833284741383
1967,Sep,11,Sabine,Bright yellow flash visible a fraction of a second,Mrs P.Jean and Montreal group,bright yellow flash visibl fraction second,0,0.04629295261743635,-0.042233805070653885
1967,Sep,17,Aristarchus,Red color observed,Delano,red color observ,0,-0.18579970777204008,-0.12717698184087742
1967,Oct,10,SE of Ross D,Bright area moved 80 kmhr toward SSE and expanded as contrast reduced,Harris,bright area move kmhr toward sse expand contrast reduc,1,0.026203229819637595,-0.05765240737751748
1967,Oct,19,Kepler,Aristarchus,High moon,aristarchu,0,-0.11810512439320447,-0.04113377560103759
